uuid,Vendor Given Name
1,BLDA.AH1.CHWR1-T
2,BLDA.AH1.CHWR2-T
3,BLDA.AH1.CLG-VLV1
4,BLDA.AH1.CLG-VLV2
5,BLDA.AH1.DA1-T
6,BLDA.AH1.DA2-T
7,BLDA.AH1.DA-SP
8,BLDA.AH1.RF1-F
9,BLDA.AH1.RF2-F
10,BLDA.AH1-1.RF-SPD
11,BLDA.AH1.SF1-F
12,BLDA.AH1.SF2-F
13,BLDA.AH1.SF-SPD
14,BLDA.AH1.SYSENA
15,BLDA.RM-1100A..ACTCLGSP
16,BLDA.RM-1100A..ACTHTGSP
17,BLDA.RM-1100A..CLGPID-O
18,BLDA.RM-1100A..COMMONSP
19,BLDA.RM-1100A..DMPR-POS
20,BLDA.RM-1100A..DPR-C
21,BLDA.RM-1100A..HTGPID-O
22,BLDA.RM-1100A..OCC-CMD
23,BLDA.RM-1100A..RH-VLV
24,BLDA.RM-1100A..SUPFLO-SP
25,BLDA.RM-1100A..SUP-FLOW
26,BLDA.RM-1100A..ZN-T
27,BLDA.RM-1100D..ACTCLGSP
28,BLDA.RM-1100D..ACTHTGSP
29,BLDA.RM-1100D..CLGPID-O
30,BLDA.RM-1100D..COMMONSP
31,BLDA.RM-1100D..DMPR-POS
32,BLDA.RM-1100D..DPR-C
33,BLDA.RM-1100D..HTGPID-O
34,BLDA.RM-1100D..OCC-CMD
35,BLDA.RM-1100D..RH-VLV
36,BLDA.RM-1100D..SUPFLO-SP
37,BLDA.RM-1100D..SUP-FLOW
38,BLDA.RM-1100D..ZN-T
39,BLDA.RM-2150..ACTCLGSP
40,BLDA.RM-2150..ACTHTGSP
41,BLDA.RM-2150..CLGPID-O
42,BLDA.RM-2150..COMMONSP
43,BLDA.RM-2150..DMPR-POS
44,BLDA.RM-2150..DPR-C
45,BLDA.RM-2150..HTGFLOW
46,BLDA.RM-2150..HTGPID-O
47,BLDA.RM-2150..OCC-CMD
48,BLDA.RM-2150..RH-VLV
49,BLDA.RM-2150..SUPFLO-SP
50,BLDA.RM-2150..SUP-FLOW
51,BLDA.RM-2150..ZN-T
